,work_id,version,task,first_acc,first_C_NED,first_G_NED,second_acc,second_C_NED,second_G_NED,character_acc,character_C_NED,character_G_NED,grapheme_acc,grapheme_C_NED,grapheme_G_NED,fps
0,rec_grapheme_10000_horizontal_C+FM,66.0,eval,0.9077868666437118,0.9572973597092982,0.9801126511144408,0.9036885060719568,0.9577738754424427,0.978288989082247,0.8237704749227363,0.9223385066655848,0.9610265425628832,0.9057376863578344,0.9575356175758704,0.979200820098344,566.6992781120365
0,rec_grapheme_10000_horizontal_C+FM,231.0,test,0.9344262103601186,0.9691744736995864,0.987400793908974,0.9487704723612608,0.9745673957852764,0.9873178508974028,0.8647540806402852,0.9398427347742347,0.9700280277631086,0.9415983413606898,0.9718709347424316,0.9873593224031884,524.4227110839097
0,rec_grapheme_10000_horizontal_C+FM,66.0,test,0.9159835877872216,0.961359127775948,0.9817766614021392,0.9118852272154668,0.958757807246376,0.9853418556217354,0.831967196066246,0.9196184637861166,0.9632212797024002,0.913934407501344,0.960058467511162,0.9835592585119372,476.36410387573727
0,rec_grapheme_10000_horizontal_C+FM,236.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2050.960272737408
0,rec_grapheme_10000_horizontal_C+FM,71.0,train,0.987499969140626,0.9962500001171876,0.9979861111740452,0.987499969140626,0.9937500001953125,0.9968750000976564,0.9812499693359386,0.9929687502197264,0.9957118056895616,0.987499969140626,0.99500000015625,0.9974305556358508,2008.419403138287
0,rec_grapheme_10000_horizontal_C+FM,236.0,eval,0.940573751217751,0.9700039038152986,0.9832606907758402,0.9323770300742412,0.968287308742486,0.9823328674797346,0.8627049003544078,0.9369584322051844,0.9666856412412628,0.9364753906459962,0.9691456062788923,0.9827967791277874,415.3024185503352
0,rec_grapheme_10000_horizontal_C+FM,71.0,eval,0.9241803089307314,0.962591075447815,0.9817872325702808,0.9118852272154668,0.9595075470176374,0.97907342396946,0.8299180157803686,0.9205625504178244,0.9608151192000544,0.9180327680730992,0.9610493112327262,0.9804303282698704,447.59280501361513
0,rec_grapheme_10000_horizontal_C+FM,236.0,test,0.9426229315036284,0.9719750200902856,0.9871958758803864,0.9467212920753834,0.9734322149602428,0.9865599794583404,0.8688524412120402,0.942745740179228,0.9710737602423302,0.944672111789506,0.972703617525264,0.9868779276693632,426.67426228799445
0,rec_grapheme_10000_horizontal_C+FM,71.0,test,0.9364753906459962,0.969453389905164,0.9856928726151496,0.9200819483589764,0.9628220148133662,0.98508001591854,0.8196721143509813,0.9188988111857193,0.9602296391183752,0.9282786695024864,0.9661377023592652,0.9853864442668449,423.44871659613904
0,rec_grapheme_10000_horizontal_C+FM,241.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,1889.064996927508
0,rec_grapheme_10000_horizontal_C+FM,76.0,train,0.9843749692382824,0.9949479168245444,0.9975520834098308,0.9843749692382824,0.995781250131836,0.9967187501025392,0.987499969140626,0.9928125002246092,0.997500000078125,0.9843749692382824,0.99536458347819,0.9971354167561848,2144.3798211817057
0,rec_grapheme_10000_horizontal_C+FM,241.0,eval,0.9385245709318736,0.9686865736315202,0.983768106846629,0.9323770300742412,0.9689589845028572,0.9828982894475043,0.8729508017837951,0.9403444586775628,0.9671502305282988,0.9354508005030574,0.9688227790671886,0.9833331981470668,400.7372113042889
0,rec_grapheme_10000_horizontal_C+FM,76.0,eval,0.9282786695024864,0.9654111378412368,0.9819758872632662,0.9118852272154668,0.962073901375665,0.980239505132138,0.8401639172097558,0.9250268360406289,0.9622706877364516,0.9200819483589764,0.9637425196084508,0.981107696197702,464.1795352609221
0,rec_grapheme_10000_horizontal_C+FM,241.0,test,0.9364753906459962,0.9704893643830244,0.9866665043065348,0.9426229315036284,0.973676978161056,0.9871804257115644,0.8668032609261628,0.9391881355162462,0.9697892277853496,0.9395491610748123,0.97208317127204,0.9869234650090496,450.5475087463152
0,rec_grapheme_10000_horizontal_C+FM,76.0,test,0.9262294892166087,0.9667178968568736,0.985669019722933,0.9077868666437118,0.9588261132559052,0.983588668043818,0.831967196066246,0.9204527729025096,0.960442688814764,0.9170081779301604,0.9627720050563896,0.9846288438833756,442.4106234985077
0,rec_grapheme_10000_horizontal_C+FM,246.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2129.6634421072085
0,rec_grapheme_10000_horizontal_C+FM,81.0,train,0.9906249690429698,0.997291666751302,0.9987500000390624,0.987499969140626,0.9959375001269531,0.9978125000683594,0.9687499697265636,0.9889062503466796,0.9934895835367838,0.989062469091798,0.9966145834391276,0.9982812500537108,2171.5747156988127
0,rec_grapheme_10000_horizontal_C+FM,246.0,eval,0.9385245709318736,0.968345043583874,0.9830037300733254,0.9323770300742412,0.9691663420317852,0.9827776697084548,0.8729508017837951,0.9411129012847668,0.9669889524502436,0.9354508005030574,0.9687556928078296,0.9828906998908902,396.5675285034708
0,rec_grapheme_10000_horizontal_C+FM,81.0,eval,0.9200819483589764,0.9618478410107943,0.9792929790000896,0.9098360469295892,0.959607566531591,0.9790655633572524,0.8176229340651039,0.9148785146248548,0.9583406526881796,0.9149589976442828,0.9607277037711928,0.979179271178671,427.7478718179252
0,rec_grapheme_10000_horizontal_C+FM,246.0,test,0.944672111789506,0.9730532792407116,0.988877504781654,0.944672111789506,0.9744112677634954,0.987857793639396,0.8668032609261628,0.9425863594903264,0.9708097520943876,0.944672111789506,0.9737322735021036,0.988367649210525,350.7442573135623
0,rec_grapheme_10000_horizontal_C+FM,81.0,test,0.9323770300742412,0.9683718780876176,0.9855448762611696,0.913934407501344,0.9606020695036656,0.9840668101105228,0.8176229340651039,0.9149224256309808,0.9580424915354724,0.9231557187877928,0.9644869737956416,0.984805843185846,462.964835324946
0,rec_grapheme_10000_horizontal_C+FM,251.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9999999687500012,1.0,1.0,1561.0480129367036
0,rec_grapheme_10000_horizontal_C+FM,86.0,train,0.9937499689453136,0.9986979167073567,0.999218750024414,0.9906249690429698,0.9981250000585936,0.9989583333658856,0.987499969140626,0.996145833453776,0.9982986111642796,0.9921874689941416,0.9984114583829752,0.9990885416951498,2043.8470634406128
0,rec_grapheme_10000_horizontal_C+FM,251.0,eval,0.9344262103601186,0.967369243447742,0.9834395874674644,0.9323770300742412,0.969746943112784,0.9830470989682646,0.8627049003544078,0.9365315196456264,0.9658895509635348,0.93340162021718,0.9685580932802628,0.9832433432178644,346.6428535713651
0,rec_grapheme_10000_horizontal_C+FM,86.0,eval,0.9241803089307314,0.9644207007030626,0.9803723223728892,0.9036885060719568,0.9607655160264678,0.9793816141791216,0.8381147369238784,0.9287446345592922,0.9623606781934504,0.9139344075013442,0.9625931083647652,0.9798769682760052,433.5777380894418
0,rec_grapheme_10000_horizontal_C+FM,251.0,test,0.9385245709318736,0.9713627055048626,0.986720173314022,0.944672111789506,0.9709756381175302,0.9852174411043784,0.8606557200685304,0.940013499798058,0.9698572627392854,0.9415983413606898,0.9711691718111964,0.9859688072092002,357.98783766010024
0,rec_grapheme_10000_horizontal_C+FM,86.0,test,0.9364753906459962,0.9692257032067332,0.9858788167522012,0.9262294892166087,0.964674408738457,0.9816598364413968,0.8258196552086137,0.9202332178718798,0.9607072390738932,0.9313524399313023,0.9669500559725952,0.983769326596799,428.3248219221057
0,rec_grapheme_10000_horizontal_C+FM,256.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,1809.6559222538592
0,rec_grapheme_10000_horizontal_C+FM,91.0,train,0.9843749692382824,0.99536458347819,0.9979340278423394,0.9906249690429698,0.9962500001171876,0.9973611111935764,0.9718749696289072,0.9925520835660808,0.9960763890115018,0.987499969140626,0.9958072917976888,0.997647569517958,2049.410095215049
0,rec_grapheme_10000_horizontal_C+FM,256.0,eval,0.9364753906459962,0.9682962535770674,0.9828736233885078,0.9323770300742412,0.9670634927384204,0.9826079889070052,0.87704916235555,0.9409421362609438,0.967828682678504,0.9344262103601186,0.967679873157744,0.9827408061477564,397.1418464374962
0,rec_grapheme_10000_horizontal_C+FM,91.0,eval,0.9180327680730992,0.959437614674548,0.9798708695251546,0.8934426046425696,0.954992031887686,0.9768255599336424,0.8196721143509813,0.9160478484546531,0.9612585661508078,0.9057376863578344,0.9572148232811172,0.9783482147293984,404.7801514987892
0,rec_grapheme_10000_horizontal_C+FM,256.0,test,0.940573751217751,0.971994536093008,0.9871357015386584,0.9508196526471384,0.9740298925436236,0.9863266005924488,0.8647540806402852,0.9405371792044488,0.9703202256927614,0.9456967019324448,0.973012214318316,0.9867311510655534,433.240325284744
0,rec_grapheme_10000_horizontal_C+FM,91.0,test,0.9159835877872216,0.9651525508051616,0.984691864308834,0.9118852272154668,0.9625146377704846,0.9824881823347356,0.809426212921594,0.9188841741836772,0.9632402535939362,0.913934407501344,0.9638335942878232,0.9835900233217848,340.44747172356045
0,rec_grapheme_10000_horizontal_C+FM,261.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2075.812389162857
0,rec_grapheme_10000_horizontal_C+FM,261.0,eval,0.9364753906459962,0.9670960194096248,0.9818327699099668,0.9344262103601186,0.9682100578983758,0.983559394039734,0.8790983426414275,0.9419667264038823,0.9677072497726744,0.9354508005030574,0.9676530386540004,0.9826960819748504,502.8647666374249
0,rec_grapheme_10000_horizontal_C+FM,96.0,train,0.9968749688476573,0.999218750024414,0.9997395833414714,0.9937499689453136,0.9985937500439452,0.9995312500146484,0.987499969140626,0.997500000078125,0.9983333333854166,0.9953124688964854,0.9989062500341797,0.99963541667806,2179.59646220595
0,rec_grapheme_10000_horizontal_C+FM,261.0,test,0.944672111789506,0.9731215852502408,0.98803506399746,0.940573751217751,0.972436085654608,0.9881253255100522,0.8688524412120402,0.942074064418857,0.972244178294502,0.9426229315036284,0.9727788354524244,0.988080194753756,503.6196388778189
0,rec_grapheme_10000_horizontal_C+FM,96.0,eval,0.9077868666437118,0.9573575340510264,0.978226646295772,0.8975409652143246,0.9537763475514216,0.975829972739194,0.8114753932074715,0.9124764199564096,0.9542013627218257,0.9026639159290182,0.955566940801224,0.977028309517483,446.5882819426694
0,rec_grapheme_10000_horizontal_C+FM,96.0,test,0.9385245709318736,0.9706373607370044,0.9876775416698048,0.913934407501344,0.9642052115063336,0.9845961816843743,0.8340163763521234,0.9274395018772156,0.9638189572857812,0.9262294892166087,0.9674212861216688,0.9861368616770896,414.5641629425478
0,rec_grapheme_10000_horizontal_C+FM,266.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2140.2627780730304
0,rec_grapheme_10000_horizontal_C+FM,266.0,eval,0.9344262103601186,0.9666861833524494,0.9811497098146744,0.9282786695024864,0.966653656681245,0.9823575335387312,0.8749999820696726,0.9413324563153966,0.9672898241588844,0.9313524399313023,0.9666699200168472,0.9817536216767028,485.4641570197208
0,rec_grapheme_10000_horizontal_C+FM,101.0,train,0.987499969140626,0.9959077382231212,0.9969494048572358,0.987499969140626,0.9971875000878906,0.9981250000585936,0.9718749696289072,0.9932217264022972,0.9954265874445064,0.987499969140626,0.996547619155506,0.9975372024579148,2111.3534914216752
0,rec_grapheme_10000_horizontal_C+FM,266.0,test,0.9344262103601186,0.9704186188731548,0.9868933778381854,0.944672111789506,0.9737680528404282,0.9883643965434046,0.8729508017837951,0.9425863594903264,0.9729955443993236,0.9395491610748123,0.9720933358567916,0.987628887190795,496.513177006548
0,rec_grapheme_10000_horizontal_C+FM,101.0,eval,0.922131128644854,0.9610688272354488,0.9792978580007704,0.9098360469295892,0.959940151744656,0.9799928445421712,0.8176229340651039,0.918771957168022,0.9566923636248964,0.9159835877872216,0.9605044894900524,0.9796453512714708,386.3481070222752
0,rec_grapheme_10000_horizontal_C+FM,101.0,test,0.9323770300742412,0.9684718976015712,0.9852328912732006,0.9180327680730992,0.9654436645124412,0.9829939720719642,0.831967196066246,0.9263100132196426,0.9605822824453496,0.92520489907367,0.966957781057006,0.9841134316725824,438.6280533238517
0,rec_grapheme_10000_horizontal_C+FM,271.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2249.566906624532
0,rec_grapheme_10000_horizontal_C+FM,271.0,eval,0.9364753906459962,0.967710773495388,0.9818327699099668,0.9303278497883638,0.967385506783344,0.9820593723860244,0.8749999820696726,0.941247073803485,0.967512902912228,0.93340162021718,0.9675481401393662,0.9819460711479956,445.1939520847238
0,rec_grapheme_10000_horizontal_C+FM,106.0,train,0.9968749688476573,0.9995535714425224,0.9995535714425224,0.9937499689453136,0.998854166702474,0.9992708333561198,0.9843749692382824,0.9952827382426526,0.9967410715304128,0.9953124688964854,0.999203869072498,0.999412202399321,2213.0072154291984
0,rec_grapheme_10000_horizontal_C+FM,271.0,test,0.9385245709318736,0.9710870419664052,0.9860688267231538,0.9487704723612608,0.9742632714095152,0.9892580668347456,0.8688524412120402,0.9419203758974162,0.9719311090841596,0.9436475216465672,0.9726751566879605,0.9876634467789496,426.71332975560375
0,rec_grapheme_10000_horizontal_C+FM,106.0,eval,0.9282786695024864,0.9633505732204378,0.9818528280238764,0.9118852272154668,0.961652680983568,0.9800378397706704,0.8401639172097558,0.928271371493268,0.9595793767498804,0.9200819483589764,0.9625016271020028,0.9809453338972732,434.519795117114
0,rec_grapheme_10000_horizontal_C+FM,106.0,test,0.9467212920753834,0.973972970869016,0.9874232915232238,0.9323770300742412,0.9706454924048056,0.9873273378431708,0.8381147369238784,0.9311987719016644,0.967484442074924,0.9395491610748123,0.9723092316369109,0.9873753146831974,463.3076242381357
0,rec_grapheme_10000_horizontal_C+FM,276.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2038.779822330592
0,rec_grapheme_10000_horizontal_C+FM,276.0,eval,0.9385245709318736,0.9683938335906808,0.9832368378836236,0.9303278497883638,0.9679709868650234,0.9832520169968524,0.8709016214979176,0.9399663361248116,0.9673527090565464,0.9344262103601186,0.968182410227852,0.983244427440238,412.0623542498931
0,rec_grapheme_10000_horizontal_C+FM,111.0,train,0.9968749688476573,0.999218750024414,0.9997395833414714,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9906249690429698,0.9981250000585936,0.9989583333658856,0.9968749688476573,0.9992968750219726,0.9997656250073242,2067.114628143778
0,rec_grapheme_10000_horizontal_C+FM,276.0,test,0.9385245709318736,0.9710528889616408,0.98596636770886,0.9528688329330156,0.975885539135835,0.9900265094419496,0.8709016214979176,0.942110656923962,0.9711862483135788,0.9456967019324448,0.9734692140487378,0.9879964385754048,410.2299674060019
0,rec_grapheme_10000_horizontal_C+FM,111.0,eval,0.9364753906459962,0.96728142143549,0.983000477406205,0.9262294892166087,0.966261710293232,0.9828860919458028,0.831967196066246,0.9261026556907144,0.9599968023636704,0.9313524399313023,0.966771565864361,0.982943284676004,344.11219049273967
0,rec_grapheme_10000_horizontal_C+FM,111.0,test,0.9385245709318736,0.9708430919323724,0.9837128115055814,0.9282786695024864,0.9664731336560606,0.9836748637225096,0.8381147369238784,0.9268954933013218,0.9643006230751998,0.93340162021718,0.9686581127942164,0.9836938376140456,446.7299321337115
0,rec_grapheme_10000_horizontal_C+FM,281.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2311.0561336833093
0,rec_grapheme_10000_horizontal_C+FM,281.0,eval,0.940573751217751,0.9694184237336192,0.9828703707213874,0.9303278497883638,0.96735623277926,0.9830416778563972,0.8709016214979176,0.9396248060771654,0.9673581301684138,0.9354508005030574,0.9683873282564396,0.9829560242888924,512.0817005349852
0,rec_grapheme_10000_horizontal_C+FM,116.0,train,0.9968749688476573,0.999218750024414,0.9997395833414714,0.9906249690429698,0.9982291667220052,0.9989930555870226,0.987499969140626,0.9971875000878906,0.998645833375651,0.9937499689453136,0.9987239583732096,0.999366319464247,2024.701107905272
0,rec_grapheme_10000_horizontal_C+FM,281.0,test,0.940573751217751,0.9709187164429224,0.9863444902616112,0.9467212920753834,0.973153298754665,0.9888880759497954,0.8709016214979176,0.9415983618524926,0.971527778361225,0.9436475216465672,0.9720360075987936,0.9876162831057032,469.5835686772172
0,rec_grapheme_10000_horizontal_C+FM,116.0,eval,0.9282786695024864,0.9631944451986566,0.980293716250812,0.922131128644854,0.9617486346636208,0.9791531143139108,0.836065556638001,0.9244706299630336,0.9554452368398008,0.92520489907367,0.9624715399311388,0.9797234152823612,380.2357726068413
0,rec_grapheme_10000_horizontal_C+FM,116.0,test,0.9467212920753834,0.9738680723543818,0.9870793219752372,0.9180327680730992,0.964489819879372,0.9831276024794956,0.836065556638001,0.9289568710889008,0.9626940765732956,0.9323770300742412,0.9691789461168768,0.9851034622273664,363.8399175286564
0,rec_grapheme_10000_horizontal_C+FM,286.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,1812.7429423247336
0,rec_grapheme_10000_horizontal_C+FM,286.0,eval,0.9364753906459962,0.967710773495388,0.9818327699099668,0.9323770300742412,0.9683808229221988,0.9830416778563972,0.8688524412120402,0.9420325929130714,0.9680089346480952,0.9344262103601186,0.9680457982087936,0.982437223883182,514.3846172619332
0,rec_grapheme_10000_horizontal_C+FM,121.0,train,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9937499689453136,0.9983333333854166,0.9994444444618056,0.9984374687988292,0.9996875000097656,0.9998958333365886,2204.388617528324
0,rec_grapheme_10000_horizontal_C+FM,286.0,test,0.940573751217751,0.9704405743762178,0.986276184252082,0.9487704723612608,0.9741778888976038,0.98877423260058,0.8688524412120402,0.941305621811653,0.9703486865300652,0.944672111789506,0.9723092316369109,0.987525208426331,455.6752663616739
0,rec_grapheme_10000_horizontal_C+FM,121.0,eval,0.9262294892166087,0.9613274142715238,0.9795250025880144,0.922131128644854,0.9644434693729056,0.98156117220541,0.8278688354944911,0.922767858725483,0.9587919602511406,0.9241803089307314,0.9628854418222148,0.9805430873967124,413.58536349191417
0,rec_grapheme_10000_horizontal_C+FM,121.0,test,0.9487704723612608,0.9753130697226374,0.9861395722330232,0.9282786695024864,0.9678197378439228,0.9847384858708936,0.8483606383532657,0.9336382722419948,0.9669163095512204,0.9385245709318736,0.97156640378328,0.9854390290519583,515.7838208350493
0,rec_grapheme_10000_horizontal_C+FM,126.0,train,0.9968749688476573,0.9993750000195312,0.9993750000195312,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9937499689453136,0.9990625000292968,0.9996875000097656,0.9968749688476573,0.9993750000195312,0.9995833333463542,2238.075949130684
0,rec_grapheme_10000_horizontal_C+FM,126.0,eval,0.9323770300742412,0.9679156915239758,0.9810244821305374,0.9200819483589764,0.9628187621462456,0.9800947614452782,0.831967196066246,0.9271394433353548,0.9599566861358516,0.9262294892166087,0.9653672268351108,0.9805596217879078,407.5071087542486
0,rec_grapheme_10000_horizontal_C+FM,126.0,test,0.9467212920753834,0.9737249550010824,0.9866196116888816,0.9364753906459962,0.970648745071926,0.985051555081236,0.8483606383532657,0.9368941920295556,0.9678877727978588,0.9415983413606898,0.9721868500365042,0.9858355833850588,440.5897213687334
0,rec_grapheme_10000_horizontal_C+FM,131.0,train,0.9999999687500012,1.0,1.0,0.9906249690429698,0.9979687500634764,0.9989062500341797,0.987499969140626,0.996145833453776,0.9982986111642796,0.9953124688964854,0.9989843750317382,0.9994531250170898,2005.354275989111
0,rec_grapheme_10000_horizontal_C+FM,131.0,eval,0.9344262103601186,0.9657640522238046,0.9794859705825693,0.9159835877872216,0.9621096807139896,0.9801842097910904,0.8299180157803686,0.9258416291542992,0.962564783055258,0.92520489907367,0.9639368664688972,0.9798350901868298,439.1520143198831
0,rec_grapheme_10000_horizontal_C+FM,131.0,test,0.9385245709318736,0.9711008658016672,0.9852515941091432,0.9200819483589764,0.9632969042129506,0.9834851248071506,0.836065556638001,0.9213602670291124,0.960230181229562,0.929303259645425,0.9671988850073088,0.9843683594581468,492.22640257047016
0,rec_grapheme_10000_horizontal_C+FM,136.0,train,0.9999999687500012,1.0,1.0,0.9968749688476573,0.999218750024414,0.9997395833414714,0.9937499689453136,0.9985937500439452,0.9995312500146484,0.9984374687988292,0.999609375012207,0.9998697916707358,2194.1000954225738
0,rec_grapheme_10000_horizontal_C+FM,136.0,eval,0.9385245709318736,0.9687922853129346,0.9820946096131624,0.9262294892166087,0.9644320850379842,0.9819048706978032,0.8340163763521234,0.922923986747264,0.95987049045716,0.9323770300742412,0.9666121851754594,0.9819997401554827,352.6237204234541
0,rec_grapheme_10000_horizontal_C+FM,136.0,test,0.9426229315036284,0.9711407109738924,0.9889230421213402,0.9282786695024864,0.9667439181938372,0.9849832490717068,0.8565573594967755,0.9383172338947484,0.9713789688404648,0.9354508005030574,0.9689423145838648,0.9869531455965236,467.5329481500737
0,rec_grapheme_10000_horizontal_C+FM,141.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9999999687500012,1.0,1.0,2042.812299113208
0,rec_grapheme_10000_horizontal_C+FM,141.0,eval,0.9344262103601186,0.9668000267016648,0.9818371067994608,0.9200819483589764,0.96358964425379,0.9786614194675376,0.836065556638001,0.9293252356402908,0.9630022667829572,0.9272540793595476,0.9651948354777274,0.9802492631334992,510.0639114591282
0,rec_grapheme_10000_horizontal_C+FM,141.0,test,0.9364753906459962,0.971727004222352,0.985331284453594,0.9241803089307314,0.9637726067793148,0.9829188896726004,0.8463114580673882,0.934327024504748,0.9645312913851576,0.9303278497883638,0.9677498055008332,0.9841250870630972,504.4227598199267
0,rec_grapheme_10000_horizontal_C+FM,146.0,train,0.9968749688476573,0.9987500000390624,0.9987500000390624,0.9999999687500012,1.0,1.0,0.9937499689453136,0.9989285714620536,0.9993452381156994,0.9984374687988292,0.9993750000195312,0.9993750000195312,2371.8228751645124
0,rec_grapheme_10000_horizontal_C+FM,146.0,eval,0.9344262103601186,0.9671870940889972,0.9844327351615724,0.9241803089307314,0.9639620746390806,0.9819970295995492,0.8524589989250205,0.9344530653556652,0.962450397594856,0.929303259645425,0.9655745843640388,0.9832148823805608,502.28502765002014
0,rec_grapheme_10000_horizontal_C+FM,146.0,test,0.9303278497883638,0.9693989077308968,0.9849840622384868,0.9180327680730992,0.9619454210244076,0.98193034992358,0.831967196066246,0.92363144184596,0.9628748706540734,0.9241803089307314,0.965672164377652,0.9834572060810336,507.3752792841616
0,rec_grapheme_10000_horizontal_C+FM,151.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9999999687500012,1.0,1.0,2330.5364339056528
0,rec_grapheme_10000_horizontal_C+FM,151.0,eval,0.9262294892166087,0.9644548537078272,0.9801934256812648,0.922131128644854,0.9655274206907926,0.981274666443218,0.8545081792108981,0.934843385410118,0.963524319855788,0.9241803089307314,0.9649911371993098,0.9807340460622412,519.8111910931095
